imgName,Vpresent,Vpl,Vpr,Vpc,safeToAcc
000231.jpg,1,1,1,1,0
000232.jpg,1,1,1,1,0
000233.jpg,1,1,1,1,0
000234.jpg,1,1,1,1,0
000235.jpg,1,1,1,1,0
000236.jpg,1,1,1,1,0
000237.jpg,1,1,1,1,0
000238.jpg,1,1,1,1,0
000239.jpg,1,1,1,1,0
000240.jpg,1,1,1,1,0
000241.jpg,1,1,1,1,0
000242.jpg,1,1,1,1,0
000243.jpg,1,1,1,1,0
000244.jpg,1,1,1,1,0
000245.jpg,1,1,1,1,0
000246.jpg,1,1,1,1,0
000247.jpg,1,1,1,1,0
000248.jpg,1,1,1,1,0
000249.jpg,1,1,1,1,0
000250.jpg,1,1,1,1,0
000251.jpg,1,1,1,1,0
000252.jpg,1,1,1,1,0
000253.jpg,1,1,1,1,0
000254.jpg,1,1,1,1,0
000255.jpg,1,1,1,1,0
000256.jpg,1,1,1,1,0
000257.jpg,1,1,1,1,0
000258.jpg,1,1,1,1,0
000259.jpg,1,1,1,1,0
000260.jpg,0,1,0,1,0
000261.jpg,0,1,0,1,0
000262.jpg,0,1,0,1,0
000263.jpg,0,1,0,1,0
000264.jpg,0,1,0,1,0
000265.jpg,0,1,0,1,0
000266.jpg,0,1,0,1,0
000267.jpg,0,1,0,1,0
000268.jpg,0,1,0,1,0
000302.jpg,0,1,0,1,0
000303.jpg,0,1,0,1,0
000304.jpg,0,1,0,1,0
000305.jpg,0,1,0,1,0
000306.jpg,0,1,0,1,0
000307.jpg,0,1,0,1,0
000308.jpg,0,1,0,1,0
000309.jpg,0,1,0,1,0
000310.jpg,0,1,0,1,0
000311.jpg,0,1,0,1,0
000312.jpg,0,1,0,1,0
000313.jpg,0,1,0,1,0
000314.jpg,0,1,0,1,0
000315.jpg,0,1,0,1,0
000316.jpg,0,1,0,1,0
000317.jpg,0,1,0,1,0
000318.jpg,0,0,0,0,0
000319.jpg,0,0,0,0,0
000320.jpg,0,0,0,0,0
000321.jpg,0,0,0,0,0
000348.jpg,0,0,0,0,0
000349.jpg,0,0,0,0,0
000350.jpg,0,0,0,0,0
000351.jpg,0,0,0,0,0
000352.jpg,0,0,0,0,0
000353.jpg,0,0,0,0,0
000354.jpg,0,0,0,0,0
000355.jpg,0,0,0,0,0
000356.jpg,0,0,0,0,0
000357.jpg,0,0,0,0,0
000358.jpg,0,0,0,0,0
000359.jpg,0,0,0,0,0
000360.jpg,0,0,0,0,0
000361.jpg,0,0,0,0,0
000362.jpg,0,0,0,0,0
000363.jpg,0,0,0,0,0
000364.jpg,0,0,0,0,0
000365.jpg,0,0,0,0,0
000366.jpg,0,0,0,0,0
000367.jpg,0,0,0,0,0
000368.jpg,0,0,0,0,0
000369.jpg,0,0,0,0,0
000370.jpg,0,0,0,0,0
000371.jpg,0,0,0,0,0
000372.jpg,0,0,0,0,0
000373.jpg,0,0,0,0,0
000374.jpg,0,0,0,0,0
000375.jpg,0,0,0,0,0
000376.jpg,0,0,0,0,0
000377.jpg,0,0,0,0,0
000378.jpg,0,0,0,0,0
000379.jpg,0,0,0,0,0
000380.jpg,0,0,0,0,0
000381.jpg,0,0,0,0,0
000382.jpg,0,0,0,0,0
000383.jpg,0,0,0,0,0
000384.jpg,0,0,0,0,0
000432.jpg,0,0,0,0,0
000433.jpg,0,0,0,0,0
000434.jpg,0,0,0,0,0
000435.jpg,0,0,0,0,0
000436.jpg,0,0,0,0,0
000437.jpg,0,0,0,0,0
000438.jpg,0,0,0,0,0
000439.jpg,0,0,0,0,0
000440.jpg,0,0,0,0,0
000441.jpg,0,0,0,0,0
000442.jpg,0,0,0,0,0
000443.jpg,0,0,0,0,0
000444.jpg,0,0,0,0,0
000445.jpg,0,0,0,0,0
000446.jpg,0,0,0,0,0
000447.jpg,0,0,0,0,0
000448.jpg,0,0,0,0,0
000449.jpg,0,0,0,0,0
000450.jpg,0,0,0,0,0.5
000451.jpg,0,0,0,0,0.5
000452.jpg,0,0,0,0,0.5
000453.jpg,0,0,0,0,0.5
000454.jpg,0,0,0,0,0.5
000455.jpg,0,0,0,0,0.5
000456.jpg,0,0,0,0,0.5
000457.jpg,0,0,0,0,0.5
000458.jpg,0,0,0,0,0.5
000459.jpg,0,0,0,0,0.5
000460.jpg,0,0,0,0,0.5
000461.jpg,0,0,0,0,0.5
000462.jpg,0,0,0,0,0.5
000463.jpg,0,0,0,0,0.5
000464.jpg,0,0,0,0,0.5
000465.jpg,0,0,0,0,0.5
000466.jpg,0,0,0,0,0.5
000467.jpg,0,0,0,0,0.5
000468.jpg,0,0,0,0,0.5
000469.jpg,0,0,0,0,0.5
000470.jpg,0,0,0,0,0.5
000471.jpg,0,0,0,0,0.5
000472.jpg,0,0,0,0,0.5
000473.jpg,0,0,0,0,0.5
000474.jpg,0,0,0,0,0.5
000475.jpg,0,0,0,0,0.5
000476.jpg,0,0,0,0,0.5
000477.jpg,0,0,0,0,0.5
000478.jpg,0,0,0,0,0.5
000479.jpg,0,0,0,0,0.5
000480.jpg,0,0,0,0,0.5
000481.jpg,0,0,0,0,0.5
000482.jpg,0,0,0,0,0.5
000483.jpg,0,0,0,0,0.5
000484.jpg,0,0,0,0,0.5
000485.jpg,0,0,0,0,0.5
000486.jpg,0,0,0,0,0.5
000487.jpg,0,0,0,0,0.5
000488.jpg,0,0,0,0,0.5
000489.jpg,0,0,0,0,0.5
000490.jpg,0,0,0,0,0.5
000491.jpg,0,0,0,0,0.5
000492.jpg,0,0,0,0,0.5
000493.jpg,0,0,0,0,0.5
000494.jpg,0,0,0,0,0.5
000495.jpg,0,0,0,0,0.5
000496.jpg,0,0,0,0,0.5
000497.jpg,0,0,0,0,0.5
000498.jpg,0,0,0,0,0.5
000499.jpg,0,0,0,0,0.5
000500.jpg,0,0,0,0,0.5
000501.jpg,0,0,0,0,0.5
000502.jpg,0,0,0,0,0.5
000503.jpg,0,0,0,0,0.5
000504.jpg,0,0,0,0,0.5
000505.jpg,0,0,0,0,0.5
000506.jpg,0,0,0,0,0.5
000507.jpg,0,0,0,0,0.5
000508.jpg,0,0,0,0,0.5
000509.jpg,0,0,0,0,0.5
000510.jpg,0,0,0,0,0.5
000511.jpg,0,0,0,0,0.5
000512.jpg,0,0,0,0,0.5
000513.jpg,0,0,0,0,0.5
000514.jpg,0,0,0,0,0.5
000515.jpg,0,0,0,0,0.5
000516.jpg,0,0,0,0,0.5
000517.jpg,0,0,0,0,0.5
000518.jpg,0,0,0,0,0.5
000519.jpg,0,0,0,0,0.5
000520.jpg,0,0,0,0,0.5
000521.jpg,0,0,0,0,0.5
000522.jpg,0,0,0,0,0.5
000523.jpg,0,0,0,0,0.5
000524.jpg,0,0,0,0,0.5
000525.jpg,0,0,0,0,0.5
000526.jpg,0,0,0,0,0.5
000527.jpg,0,0,0,0,0.5
000528.jpg,0,0,0,0,0.5
000529.jpg,0,0,0,0,0.5
000530.jpg,0,0,0,0,0.5
000531.jpg,0,0,0,0,0.5
000532.jpg,0,0,0,0,0.5
000533.jpg,0,0,0,0,0.5
000534.jpg,0,0,0,0,0.5
000535.jpg,0,0,0,0,0.5
000536.jpg,0,0,0,0,0.5
000537.jpg,0,0,0,0,0.5
000538.jpg,0,0,0,0,0.5
000539.jpg,0,0,0,0,0.5
000540.jpg,0,0,0,0,0.5
000541.jpg,0,0,0,0,0.5
000542.jpg,0,0,0,0,0.5
000543.jpg,0,0,0,0,0.5
000544.jpg,0,0,0,0,0.5
000545.jpg,0,0,0,0,0.5
000546.jpg,0,0,0,0,0.5
000547.jpg,0,0,0,0,0.5
000548.jpg,0,0,0,0,0.5
000549.jpg,0,0,0,0,0.5
000550.jpg,0,0,0,0,0.5
000551.jpg,0,0,0,0,0.5
000552.jpg,0,0,0,0,0.5
000553.jpg,0,0,0,0,0.5
000554.jpg,0,0,0,0,0.5
000555.jpg,0,0,0,0,0.5
000556.jpg,0,0,0,0,0.5
000557.jpg,0,0,0,0,0.5
000558.jpg,0,0,0,0,0.5
000559.jpg,0,0,0,0,0.5
000560.jpg,0,0,0,0,0.5
000561.jpg,0,0,0,0,0.5
000562.jpg,0,0,0,0,0.5
000563.jpg,0,0,0,0,0.5
000564.jpg,0,0,0,0,0.5
000565.jpg,0,0,0,0,0.5
000566.jpg,0,0,0,0,0.5
000567.jpg,0,0,0,0,0.5
000568.jpg,0,0,0,0,0.5
000569.jpg,0,0,0,0,0.5
000570.jpg,0,0,0,0,0.5
000571.jpg,0,0,0,0,0.5
000572.jpg,0,0,0,0,0.5
000573.jpg,0,0,0,0,0.5
000574.jpg,0,0,0,0,0.5
000575.jpg,0,0,0,0,0.5
000576.jpg,0,0,0,0,0.5
000577.jpg,0,0,0,0,0.5
000578.jpg,0,0,0,0,0.5
000579.jpg,0,0,0,0,0.5
000580.jpg,0,0,0,0,0.5
000581.jpg,0,0,0,0,0.5
000582.jpg,0,0,0,0,0.5
000583.jpg,0,0,0,0,0.5
000584.jpg,0,0,0,0,0.5
000585.jpg,0,0,0,0,0.5
000586.jpg,0,0,0,0,0.5
000587.jpg,0,0,0,0,0.5
000588.jpg,0,0,0,0,0.5
000589.jpg,0,0,0,0,0.5
000590.jpg,0,0,0,0,0.5
000591.jpg,0,0,0,0,0.5
000592.jpg,0,0,0,0,0.5
000593.jpg,0,0,0,0,0.5
000594.jpg,0,0,0,0,0.5
000595.jpg,0,0,0,0,0.5
000596.jpg,0,0,0,0,0.5
000597.jpg,0,0,0,0,0.5
000598.jpg,0,0,0,0,0.5
000599.jpg,0,0,0,0,0.5
000600.jpg,0,0,0,0,0.5
000601.jpg,0,0,0,0,0.5
000602.jpg,0,0,0,0,0.5
000603.jpg,0,0,0,0,0.5
000604.jpg,0,0,0,0,0.5
000605.jpg,0,0,0,0,0.5
000606.jpg,0,0,0,0,0.5
000607.jpg,0,0,0,0,0.5
000608.jpg,0,0,0,0,0.5
000609.jpg,0,0,0,0,0.5
000610.jpg,0,0,0,0,0.5
000611.jpg,0,0,0,0,0.5
000612.jpg,0,0,0,0,0.5
000613.jpg,0,0,0,0,0.5
000614.jpg,0,0,0,0,0.5
000615.jpg,0,0,0,0,0.5
000616.jpg,0,0,0,0,0.5
000650.jpg,0,0,0,0,0.5
000651.jpg,0,0,0,0,0.5
000652.jpg,0,0,0,0,0.5
000653.jpg,0,0,0,0,0.5
000654.jpg,0,0,0,0,0.5
000655.jpg,0,0,0,0,1
000656.jpg,0,0,0,0,1
000657.jpg,0,0,0,0,1
000658.jpg,0,0,0,0,1
000659.jpg,0,0,0,0,1
000660.jpg,0,0,0,0,1
000661.jpg,0,0,0,0,1
000662.jpg,0,0,0,0,1
000663.jpg,0,0,0,0,1
000664.jpg,0,0,0,0,1
000665.jpg,0,0,0,0,1
000666.jpg,0,0,0,0,1
000667.jpg,0,0,0,0,1
000668.jpg,0,0,0,0,1
000669.jpg,0,0,0,0,1
000670.jpg,0,0,0,0,1
000671.jpg,0,0,0,0,1
000672.jpg,0,0,0,0,1
000673.jpg,0,0,0,0,1
000674.jpg,0,0,0,0,1
000675.jpg,0,0,0,0,1
000676.jpg,0,0,0,0,1
000708.jpg,0,0,0,0,1
000709.jpg,0,0,0,0,1
000710.jpg,0,0,0,0,1
000711.jpg,0,0,0,0,1
000712.jpg,0,0,0,0,1
000713.jpg,0,0,0,0,1
000724.jpg,0,0,0,0,1
000725.jpg,0,0,0,0,1
000726.jpg,0,0,0,0,1
000727.jpg,0,0,0,0,1
000728.jpg,0,0,0,0,1
000729.jpg,0,0,0,0,1
000730.jpg,0,0,0,0,1
000731.jpg,0,0,0,0,1
000732.jpg,0,0,0,0,1
000733.jpg,0,0,0,0,1
000734.jpg,0,0,0,0,1
000735.jpg,0,0,0,0,1
000736.jpg,0,0,0,0,1
000737.jpg,0,0,0,0,1
000738.jpg,0,0,0,0,1
000739.jpg,0,0,0,0,1
000740.jpg,0,0,0,0,1
000741.jpg,0,0,0,0,1
000742.jpg,0,0,0,0,1
000743.jpg,0,0,0,0,1
000749.jpg,0,0,0,0,1
000750.jpg,0,0,0,0,1
000751.jpg,0,0,0,0,1
000752.jpg,0,0,0,0,1
000753.jpg,0,0,0,0,1
000754.jpg,0,0,0,0,1
000755.jpg,0,0,0,0,1
000756.jpg,0,0,0,0,1
000757.jpg,0,0,0,0,1
000758.jpg,0,0,0,0,1
000759.jpg,0,0,0,0,0
000760.jpg,0,0,0,0,0
000761.jpg,0,0,0,0,0
000762.jpg,0,0,0,0,0
000763.jpg,0,0,0,0,0
000764.jpg,0,0,0,0,0
000765.jpg,0,0,0,0,0
000766.jpg,0,0,0,0,0
000767.jpg,0,0,0,0,0
000768.jpg,0,0,0,0,0
000769.jpg,0,0,0,0,0
000770.jpg,0,0,0,0,0
000771.jpg,0,0,0,0,0
000772.jpg,0,0,0,0,0
000787.jpg,0,0,0,0,0
000788.jpg,0,0,0,0,0
000789.jpg,0,0,0,0,0
000790.jpg,0,0,0,0,0
000791.jpg,0,0,0,0,0
000792.jpg,0,0,0,0,0
000793.jpg,0,0,0,0,0
000794.jpg,0,0,0,0,0
000795.jpg,0,0,0,0,0
000796.jpg,0,0,0,0,0
000797.jpg,0,0,0,0,0
000798.jpg,0,0,0,0,0
000799.jpg,0,0,0,0,0
000800.jpg,0,0,0,0,1
000801.jpg,0,0,0,0,1
000802.jpg,0,0,0,0,1
000803.jpg,0,0,0,0,1
000846.jpg,0,0,0,0,1
000847.jpg,0,0,0,0,1
000848.jpg,0,0,0,0,1
000849.jpg,0,0,0,0,1
000850.jpg,0,0,0,0,1
000851.jpg,0,0,0,0,1
000852.jpg,0,0,0,0,1
000853.jpg,0,0,0,0,1
000854.jpg,0,0,0,0,1
000855.jpg,0,0,0,0,1
000856.jpg,0,0,0,0,1
000857.jpg,0,0,0,0,1
000858.jpg,0,0,0,0,1
000859.jpg,0,0,0,0,1
000860.jpg,0,0,0,0,1
000861.jpg,0,0,0,0,1
000862.jpg,0,0,0,0,1
000863.jpg,0,0,0,0,1
000864.jpg,0,0,0,0,1
000865.jpg,0,0,0,0,1
000866.jpg,0,0,0,0,1
000867.jpg,0,0,0,0,1
000890.jpg,0,0,0,0,1
000891.jpg,0,0,0,0,1
000892.jpg,0,0,0,0,1
000893.jpg,0,0,0,0,1
000894.jpg,0,0,0,0,1
000895.jpg,0,0,0,0,1
